Data domain,Requested field,Unit or format,Frequency or granularity,Equipment or process scope,Preferred source,Source owner,Confidentiality,Available,File or tag reference,Notes
Product,Product identifier,text,per product,whole process,approved product brief,Process development,Company confidential,No,,
Product,Quality target,text,per product,release and in-process,quality specification,Quality assurance,Company confidential,No,,
Recipe,Operation name,text,per operation,all unit procedures,electronic batch record,MSAT,Company confidential,No,,
Recipe,Start and end timestamp,ISO 8601,per batch and operation,all equipment,batch historian,Automation,Company confidential,No,,
Material,Raw material identifier,text,per lot,all feeds,ERP or LIMS,Supply chain,Company confidential,No,,
Material,Charged mass or volume,kg or L,per batch,all feeds,batch record or load cell,Operations,Company confidential,No,,
Material,Composition and concentration,mass fraction molarity or g/L,per lot,all feeds,certificate of analysis,Quality control,Company confidential,No,,
Biology,Viable cell density,cells/mL,time series,seed and production reactors,at-line analyzer or LIMS,Process development,Company confidential,No,,
Biology,Viability,percent,time series,seed and production reactors,at-line analyzer or LIMS,Process development,Company confidential,No,,
Biology,Product titer,g/L,time series or harvest,production and harvest,LIMS,Process development,Company confidential,No,,
Biology,Substrate concentration,g/L,time series,production reactor,LIMS or soft sensor,Process development,Company confidential,No,,
Biology,Ammonium and lactate,mM,time series,production reactor,LIMS or analyzer,Process development,Company confidential,No,,
Reactor,Dissolved oxygen,percent air saturation,1 min or faster,bioreactors,historian tag,Automation,Company confidential,No,,
Reactor,pH,pH,1 min or faster,bioreactors,historian tag,Automation,Company confidential,No,,
Reactor,Temperature,degC,1 min or faster,bioreactors,historian tag,Automation,Company confidential,No,,
Reactor,Agitation,rpm,1 min or faster,bioreactors,historian tag,Automation,Company confidential,No,,
Reactor,Gas flow and composition,NL/min and volume fraction,1 min or faster,bioreactors,historian tag,Automation,Company confidential,No,,
Reactor,Feed flow or mass,kg/h or L/h,1 min or faster,bioreactors,historian or load cell,Automation,Company confidential,No,,
Equipment,Vessel working volume,L,per equipment,all vessels,equipment data sheet,Plant engineering,Company confidential,No,,
Equipment,Geometry and internals,mm and count,per equipment,reactors and tanks,vendor drawing,Plant engineering,Restricted,No,,
Equipment,Heating and cooling duty,kW,time series or design,reactors tanks heat exchangers,historian or design calculation,Utilities engineering,Company confidential,No,,
DSP,Filter flux and pressure,LMH and bar,time series,filters and membranes,historian or batch record,Downstream development,Company confidential,No,,
DSP,Column load and capacity,g/L resin,per cycle,chromatography,LIMS or skid record,Downstream development,Company confidential,No,,
Cleaning,CIP SIP recipe and duration,text and min,per cycle,shared equipment,SOP or historian,MSAT,Company confidential,No,,
Scheduling,Resource calendar,timestamp and status,per event,equipment rooms labour,planning system,Manufacturing planning,Company confidential,No,,
Utilities,WFI clean steam gas and cooling demand,kg/h Nm3/h or kW,15 min or batch,facility meters,utility historian,Utilities engineering,Company confidential,No,,
Economics,Material and consumable unit cost,EUR per unit,per supplier and date,all purchased items,ERP or supplier quote,Procurement,Restricted,No,,
Economics,Equipment purchase and installation cost,EUR,per equipment,major equipment,quote or project estimate,Project controls,Restricted,No,,
LCA,Emission factor,kg CO2e per unit,per dataset and geography,materials utilities waste,approved LCA database,LCA lead,Licensed data,No,,
Validation,Historical batch outcome,text and numeric,per batch,whole process,batch release record,Quality assurance,Restricted,No,,
